Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"CON-005","Human gut metagenome, sample CON-005","SRS294854","SRR413598","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-006","Human gut metagenome, sample CON-006","SRS294855","SRR413599","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-089","Human gut metagenome, sample CON-089","SRS294856","SRR413600","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-048","Human gut metagenome, sample CON-048","SRS294857","SRR413601","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-090","Human gut metagenome, sample CON-090","SRS294858","SRR413602","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-007","Human gut metagenome, sample CON-007","SRS294859","SRR413603","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-091","Human gut metagenome, sample CON-091","SRS294860","SRR413604","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-008","Human gut metagenome, sample CON-008","SRS294861","SRR413605","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-049","Human gut metagenome, sample CON-049","SRS294862","SRR413606","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-092","Human gut metagenome, sample CON-092","SRS294863","SRR413607","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-050","Human gut metagenome, sample CON-050","SRS294864","SRR413608","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-009","Human gut metagenome, sample CON-009","SRS294865","SRR413609","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-051","Human gut metagenome, sample CON-051","SRS294866","SRR413610","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-093","Human gut metagenome, sample CON-093","SRS294867","SRR413611","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-052","Human gut metagenome, sample CON-052","SRS294868","SRR413612","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-053","Human gut metagenome, sample CON-053","SRS294869","SRR413613","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-054","Human gut metagenome, sample CON-054","SRS294870","SRR413614","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-094","Human gut metagenome, sample CON-094","SRS294871","SRR413615","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-095","Human gut metagenome, sample CON-095","SRS294872","SRR413616","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-021","Human gut metagenome, sample CON-021","SRS294873","SRR413617","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-055","Human gut metagenome, sample CON-055","SRS294874","SRR413618","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-022","Human gut metagenome, sample CON-022","SRS294875","SRR413619","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-096","Human gut metagenome, sample CON-096","SRS294876","SRR413620","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-097","Human gut metagenome, sample CON-097","SRS294877","SRR413621","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-023","Human gut metagenome, sample CON-023","SRS294878","SRR413622","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-098","Human gut metagenome, sample CON-098","SRS294879","SRR413623","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-056","Human gut metagenome, sample CON-056","SRS294880","SRR413624","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-099","Human gut metagenome, sample CON-099","SRS294881","SRR413625","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-100","Human gut metagenome, sample CON-100","SRS294882","SRR413626","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-057","Human gut metagenome, sample CON-057","SRS294883","SRR413627","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-101","Human gut metagenome, sample CON-101","SRS294884","SRR413628","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-058","Human gut metagenome, sample CON-058","SRS294885","SRR413629","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-059","Human gut metagenome, sample CON-059","SRS294886","SRR413630","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-024","Human gut metagenome, sample CON-024","SRS294887","SRR413631","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-025","Human gut metagenome, sample CON-025","SRS294888","SRR413632","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-102","Human gut metagenome, sample CON-102","SRS294889","SRR413633","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-103","Human gut metagenome, sample CON-103","SRS294890","SRR413634","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-060","Human gut metagenome, sample CON-060","SRS294891","SRR413635","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-061","Human gut metagenome, sample CON-061","SRS294892","SRR413636","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-104","Human gut metagenome, sample CON-104","SRS294893","SRR413637","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-062","Human gut metagenome, sample CON-062","SRS294894","SRR413638","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-010","Human gut metagenome, sample CON-010","SRS294895","SRR413639","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-063","Human gut metagenome, sample CON-063","SRS294896","SRR413640","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-064","Human gut metagenome, sample CON-064","SRS294897","SRR413641","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-105","Human gut metagenome, sample CON-105","SRS294898","SRR413642","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-065","Human gut metagenome, sample CON-065","SRS294899","SRR413643","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-066","Human gut metagenome, sample CON-066","SRS294900","SRR413644","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-011","Human gut metagenome, sample CON-011","SRS294901","SRR413645","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-067","Human gut metagenome, sample CON-067","SRS294902","SRR413646","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-068","Human gut metagenome, sample CON-068","SRS294903","SRR413647","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-069","Human gut metagenome, sample CON-069","SRS294904","SRR413648","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-012","Human gut metagenome, sample CON-012","SRS294905","SRR413649","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-070","Human gut metagenome, sample CON-070","SRS294906","SRR413650","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-106","Human gut metagenome, sample CON-106","SRS294907","SRR413651","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-071","Human gut metagenome, sample CON-071","SRS294908","SRR413652","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-026","Human gut metagenome, sample CON-026","SRS294909","SRR413653","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-072","Human gut metagenome, sample CON-072","SRS294910","SRR413654","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-107","Human gut metagenome, sample CON-107","SRS294911","SRR413655","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-073","Human gut metagenome, sample CON-073","SRS294912","SRR413656","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-027","Human gut metagenome, sample CON-027","SRS294913","SRR413657","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-074","Human gut metagenome, sample CON-074","SRS294914","SRR413658","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-075","Human gut metagenome, sample CON-075","SRS294915","SRR413659","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-028","Human gut metagenome, sample CON-028","SRS294916","SRR413660","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-029","Human gut metagenome, sample CON-029","SRS294917","SRR413661","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-013","Human gut metagenome, sample CON-013","SRS294918","SRR413662","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-076","Human gut metagenome, sample CON-076","SRS294919","SRR413663","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-014","Human gut metagenome, sample CON-014","SRS294920","SRR413664","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-077","Human gut metagenome, sample CON-077","SRS294921","SRR413665","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-078","Human gut metagenome, sample CON-078","SRS294922","SRR413666","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-015","Human gut metagenome, sample CON-015","SRS294923","SRR413667","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-030","Human gut metagenome, sample CON-030","SRS294924","SRR413668","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-108","Human gut metagenome, sample CON-108","SRS294925","SRR413669","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-109","Human gut metagenome, sample CON-109","SRS294926","SRR413670","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-110","Human gut metagenome, sample CON-110","SRS294927","SRR413671","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-111","Human gut metagenome, sample CON-111","SRS294928","SRR413672","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-001","Human gut metagenome, sample T2D-001","SRS294929","SRR413673","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-047","Human gut metagenome, sample T2D-047","SRS294930","SRR413674","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-048","Human gut metagenome, sample T2D-048","SRS294931","SRR413675","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-049","Human gut metagenome, sample T2D-049","SRS294932","SRR413676","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-023","Human gut metagenome, sample T2D-023","SRS294933","SRR413677","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-024","Human gut metagenome, sample T2D-024","SRS294934","SRR413678","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-050","Human gut metagenome, sample T2D-050","SRS294935","SRR413679","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-025","Human gut metagenome, sample T2D-025","SRS294936","SRR413680","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-072","Human gut metagenome, sample T2D-072","SRS294937","SRR413681","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-073","Human gut metagenome, sample T2D-073","SRS294938","SRR413682","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-051","Human gut metagenome, sample T2D-051","SRS294939","SRR413683","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-026","Human gut metagenome, sample T2D-026","SRS294940","SRR413684","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-074","Human gut metagenome, sample T2D-074","SRS294941","SRR413685","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-075","Human gut metagenome, sample T2D-075","SRS294942","SRR413686","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-076","Human gut metagenome, sample T2D-076","SRS294943","SRR413687","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-079","Human gut metagenome, sample CON-079","SRS294944","SRR413688","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-052","Human gut metagenome, sample T2D-052","SRS294945","SRR413689","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-077","Human gut metagenome, sample T2D-077","SRS294946","SRR413690","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-053","Human gut metagenome, sample T2D-053","SRS294947","SRR413691","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-002","Human gut metagenome, sample T2D-002","SRS294948","SRR413692","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-027","Human gut metagenome, sample T2D-027","SRS294949","SRR413693","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-078","Human gut metagenome, sample T2D-078","SRS294950","SRR413694","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-054","Human gut metagenome, sample T2D-054","SRS294951","SRR413695","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-079","Human gut metagenome, sample T2D-079","SRS294952","SRR413696","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-080","Human gut metagenome, sample T2D-080","SRS294953","SRR413697","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-003","Human gut metagenome, sample T2D-003","SRS294954","SRR413698","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-055","Human gut metagenome, sample T2D-055","SRS294955","SRR413699","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-081","Human gut metagenome, sample T2D-081","SRS294956","SRR413700","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-056","Human gut metagenome, sample T2D-056","SRS294957","SRR413701","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-082","Human gut metagenome, sample T2D-082","SRS294958","SRR413702","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-028","Human gut metagenome, sample T2D-028","SRS294959","SRR413703","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-083","Human gut metagenome, sample T2D-083","SRS294960","SRR413704","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-029","Human gut metagenome, sample T2D-029","SRS294961","SRR413705","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-057","Human gut metagenome, sample T2D-057","SRS294962","SRR413706","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-004","Human gut metagenome, sample T2D-004","SRS294963","SRR413707","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-058","Human gut metagenome, sample T2D-058","SRS294964","SRR413708","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-084","Human gut metagenome, sample T2D-084","SRS294965","SRR413709","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-059","Human gut metagenome, sample T2D-059","SRS294966","SRR413710","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-030","Human gut metagenome, sample T2D-030","SRS294967","SRR413711","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-005","Human gut metagenome, sample T2D-005","SRS294968","SRR413712","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-031","Human gut metagenome, sample T2D-031","SRS294969","SRR413713","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-085","Human gut metagenome, sample T2D-085","SRS294970","SRR413714","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-086","Human gut metagenome, sample T2D-086","SRS294971","SRR413715","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-006","Human gut metagenome, sample T2D-006","SRS294972","SRR413716","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-007","Human gut metagenome, sample T2D-007","SRS294973","SRR413717","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-060","Human gut metagenome, sample T2D-060","SRS294974","SRR413718","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-087","Human gut metagenome, sample T2D-087","SRS294975","SRR413719","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-008","Human gut metagenome, sample T2D-008","SRS294976","SRR413720","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-088","Human gut metagenome, sample T2D-088","SRS294977","SRR413721","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-032","Human gut metagenome, sample T2D-032","SRS294978","SRR413722","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-009","Human gut metagenome, sample T2D-009","SRS294979","SRR413723","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-033","Human gut metagenome, sample T2D-033","SRS294980","SRR413724","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-034","Human gut metagenome, sample T2D-034","SRS294981","SRR413725","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-061","Human gut metagenome, sample T2D-061","SRS294982","SRR413726","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-035","Human gut metagenome, sample T2D-035","SRS294983","SRR413727","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-089","Human gut metagenome, sample T2D-089","SRS294984","SRR413728","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-036","Human gut metagenome, sample T2D-036","SRS294985","SRR413729","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-037","Human gut metagenome, sample T2D-037","SRS294986","SRR413730","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-038","Human gut metagenome, sample T2D-038","SRS294987","SRR413731","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-039","Human gut metagenome, sample T2D-039","SRS294988","SRR413732","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-090","Human gut metagenome, sample T2D-090","SRS294989","SRR413733","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-091","Human gut metagenome, sample T2D-091","SRS294990","SRR413734","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-062","Human gut metagenome, sample T2D-062","SRS294991","SRR413735","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-063","Human gut metagenome, sample T2D-063","SRS294992","SRR413736","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-040","Human gut metagenome, sample T2D-040","SRS294993","SRR413737","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-092","Human gut metagenome, sample T2D-092","SRS294994","SRR413738","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-064","Human gut metagenome, sample T2D-064","SRS294995","SRR413739","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-093","Human gut metagenome, sample T2D-093","SRS294996","SRR413740","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-010","Human gut metagenome, sample T2D-010","SRS294997","SRR413741","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-094","Human gut metagenome, sample T2D-094","SRS294998","SRR413742","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-011","Human gut metagenome, sample T2D-011","SRS294999","SRR413743","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-041","Human gut metagenome, sample T2D-041","SRS295000","SRR413744","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-095","Human gut metagenome, sample T2D-095","SRS295001","SRR413745","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-065","Human gut metagenome, sample T2D-065","SRS295002","SRR413746","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-096","Human gut metagenome, sample T2D-096","SRS295003","SRR413747","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-066","Human gut metagenome, sample T2D-066","SRS295004","SRR413748","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-097","Human gut metagenome, sample T2D-097","SRS295005","SRR413749","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-012","Human gut metagenome, sample T2D-012","SRS295006","SRR413750","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-042","Human gut metagenome, sample T2D-042","SRS295007","SRR413751","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-013","Human gut metagenome, sample T2D-013","SRS295008","SRR413752","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-098","Human gut metagenome, sample T2D-098","SRS295009","SRR413753","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-099","Human gut metagenome, sample T2D-099","SRS295010","SRR413754","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-100","Human gut metagenome, sample T2D-100","SRS295011","SRR413755","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-101","Human gut metagenome, sample T2D-101","SRS295012","SRR413756","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-067","Human gut metagenome, sample T2D-067","SRS295013","SRR413757","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-080","Human gut metagenome, sample CON-080","SRS295014","SRR413758","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-102","Human gut metagenome, sample T2D-102","SRS295015","SRR413759","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-103","Human gut metagenome, sample T2D-103","SRS295016","SRR413760","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-043","Human gut metagenome, sample T2D-043","SRS295017","SRR413761","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-104","Human gut metagenome, sample T2D-104","SRS295018","SRR413762","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-044","Human gut metagenome, sample T2D-044","SRS295019","SRR413763","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-105","Human gut metagenome, sample T2D-105","SRS295020","SRR413764","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-014","Human gut metagenome, sample T2D-014","SRS295021","SRR413765","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-068","Human gut metagenome, sample T2D-068","SRS295022","SRR413766","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-106","Human gut metagenome, sample T2D-106","SRS295023","SRR413767","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-031","Human gut metagenome, sample CON-031","SRS295024","SRR413768","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-069","Human gut metagenome, sample T2D-069","SRS295025","SRR413769","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-045","Human gut metagenome, sample T2D-045","SRS295026","SRR413770","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-070","Human gut metagenome, sample T2D-070","SRS295027","SRR413771","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-015","Human gut metagenome, sample T2D-015","SRS295028","SRR413772","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-107","Human gut metagenome, sample T2D-107","SRS295029","SRR413773","metagenomic","Illumina Genome Analyzer II",1.0,
