Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"NOM007","Human gut metagenome, sample NOM007","SRS259498","SRR341645","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM008","Human gut metagenome, sample NOM008","SRS259499","SRR341646","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM012","Human gut metagenome, sample NOM012","SRS259500","SRR341647","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM013","Human gut metagenome, sample NOM013","SRS259501","SRR341648","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM018","Human gut metagenome, sample NOM018","SRS259502","SRR341649","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM022","Human gut metagenome, sample NOM022","SRS259503","SRR341650","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM023","Human gut metagenome, sample NOM023","SRS259504","SRR341651","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM026","Human gut metagenome, sample NOM026","SRS259505","SRR341652","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM029","Human gut metagenome, sample NOM029","SRS259506","SRR341653","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF009","Human gut metagenome, sample DLF009","SRS259507","SRR341654","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF012","Human gut metagenome, sample DLF012","SRS259508","SRR341655","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF013","Human gut metagenome, sample DLF013","SRS259509","SRR341656","metagenomic","Illumina Genome Analyzer II",1.0,
"DLF014","Human gut metagenome, sample DLF014","SRS259510","SRR341657","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM001","Human gut metagenome, sample DLM001","SRS259511","SRR341658","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM010","Human gut metagenome, sample DLM010","SRS259512","SRR341659","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM012","Human gut metagenome, sample DLM012","SRS259513","SRR341660","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM013","Human gut metagenome, sample DLM013","SRS259514","SRR341661","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM014","Human gut metagenome, sample DLM014","SRS259515","SRR341662","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM015","Human gut metagenome, sample DLM015","SRS259516","SRR341663","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM016","Human gut metagenome, sample DLM016","SRS259517","SRR341664","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM017","Human gut metagenome, sample DLM017","SRS259518","SRR341665","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM018","Human gut metagenome, sample DLM018","SRS259519","SRR341666","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM019","Human gut metagenome, sample DLM019","SRS259520","SRR341667","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM020","Human gut metagenome, sample DLM020","SRS259521","SRR341668","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM021","Human gut metagenome, sample DLM021","SRS259522","SRR341669","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM022","Human gut metagenome, sample DLM022","SRS259523","SRR341670","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM023","Human gut metagenome, sample DLM023","SRS259524","SRR341671","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM024","Human gut metagenome, sample DLM024","SRS259525","SRR341672","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM027","Human gut metagenome, sample DLM027","SRS259526","SRR341673","metagenomic","Illumina Genome Analyzer II",1.0,
"DLM028","Human gut metagenome, sample DLM028","SRS259527","SRR341674","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF003","Human gut metagenome, sample DOF003","SRS259528","SRR341675","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF004","Human gut metagenome, sample DOF004","SRS259529","SRR341676","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF006","Human gut metagenome, sample DOF006","SRS259530","SRR341677","metagenomic","Illumina Genome Analyzer II",1.0,
"DOF008","Human gut metagenome, sample DOF008","SRS259531","SRR341678","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM001","Human gut metagenome, sample DOM001","SRS259532","SRR341679","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM003","Human gut metagenome, sample DOM003","SRS259533","SRR341680","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM008","Human gut metagenome, sample DOM008","SRS259534","SRR341681","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM010","Human gut metagenome, sample DOM010","SRS259535","SRR341682","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM013","Human gut metagenome, sample DOM013","SRS259536","SRR341683","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM015","Human gut metagenome, sample DOM015","SRS259537","SRR341684","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM016","Human gut metagenome, sample DOM016","SRS259538","SRR341685","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM018","Human gut metagenome, sample DOM018","SRS259539","SRR341686","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM019","Human gut metagenome, sample DOM019","SRS259540","SRR341687","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM022","Human gut metagenome, sample DOM022","SRS259541","SRR341688","metagenomic","Illumina Genome Analyzer II",1.0,
"DOM026","Human gut metagenome, sample DOM026","SRS259542","SRR341689","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF008","Human gut metagenome, sample NLF008","SRS259543","SRR341690","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF012","Human gut metagenome, sample NLF012","SRS259544","SRR341691","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF013","Human gut metagenome, sample NLF013","SRS259545","SRR341692","metagenomic","Illumina Genome Analyzer II",1.0,
"NLF015","Human gut metagenome, sample NLF015","SRS259546","SRR341693","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM002","Human gut metagenome, sample NLM002","SRS259547","SRR341694","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM004","Human gut metagenome, sample NLM004","SRS259548","SRR341695","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM006","Human gut metagenome, sample NLM006","SRS259549","SRR341696","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM007","Human gut metagenome, sample NLM007","SRS259550","SRR341697","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM010","Human gut metagenome, sample NLM010","SRS259551","SRR341698","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM021","Human gut metagenome, sample NLM021","SRS259552","SRR341699","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM022","Human gut metagenome, sample NLM022","SRS259553","SRR341700","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM024","Human gut metagenome, sample NLM024","SRS259554","SRR341701","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM026","Human gut metagenome, sample NLM026","SRS259555","SRR341702","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM027","Human gut metagenome, sample NLM027","SRS259556","SRR341703","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM028","Human gut metagenome, sample NLM028","SRS259557","SRR341704","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM029","Human gut metagenome, sample NLM029","SRS259558","SRR341705","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM031","Human gut metagenome, sample NLM031","SRS259559","SRR341706","metagenomic","Illumina Genome Analyzer II",1.0,
"NLM032","Human gut metagenome, sample NLM032","SRS259560","SRR341707","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF005","Human gut metagenome, sample NOF005","SRS259561","SRR341708","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF008","Human gut metagenome, sample NOF008","SRS259562","SRR341709","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF010","Human gut metagenome, sample NOF010","SRS259563","SRR341710","metagenomic","Illumina Genome Analyzer II",1.0,
"NOF012","Human gut metagenome, sample NOF012","SRS259564","SRR341711","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM001","Human gut metagenome, sample NOM001","SRS259565","SRR341712","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM002","Human gut metagenome, sample NOM002","SRS259566","SRR341713","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM005","Human gut metagenome, sample NOM005","SRS259567","SRR341714","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM009","Human gut metagenome, sample NOM009","SRS259568","SRR341715","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM010","Human gut metagenome, sample NOM010","SRS259569","SRR341716","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM014","Human gut metagenome, sample NOM014","SRS259570","SRR341717","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM015","Human gut metagenome, sample NOM015","SRS259571","SRR341718","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM016","Human gut metagenome, sample NOM016","SRS259572","SRR341719","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM017","Human gut metagenome, sample NOM017","SRS259573","SRR341720","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM019","Human gut metagenome, sample NOM019","SRS259574","SRR341721","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM020","Human gut metagenome, sample NOM020","SRS259575","SRR341722","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM025","Human gut metagenome, sample NOM025","SRS259576","SRR341723","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM027","Human gut metagenome, sample NOM027","SRS259577","SRR341724","metagenomic","Illumina Genome Analyzer II",1.0,
"NOM028","Human gut metagenome, sample NOM028","SRS259578","SRR341725","metagenomic","Illumina Genome Analyzer II",1.0,
